bin,step_lo,step_hi,n_train,n_test,train_acc,test_acc,majority_baseline
cue-room(0-4),0,5,525,225,0.645714282989502,0.5111111402511597,0.5111111111111111
corridor-early(5-14),5,15,1023,436,0.7018572688102722,0.5940366983413696,0.518348623853211
corridor-mid(15-29),15,30,1468,634,0.6811988949775696,0.5709779262542725,0.5205047318611987
junction(30-59),30,60,2779,1151,0.6232457756996155,0.464813232421875,0.573414422241529
late(60+),60,10000,8201,3307,0.5990732908248901,0.4417901635169983,0.6238282431206532
