bin,step_lo,step_hi,n_train,n_test,train_acc,test_acc,majority_baseline
cue-room(0-4),0,5,1386,598,0.5873016119003296,0.5484949946403503,0.5183946488294314
corridor-early(5-14),5,15,2184,999,0.6071428656578064,0.5285285115242004,0.5265265265265265
corridor-mid(15-29),15,30,1536,659,0.646484375,0.47040972113609314,0.6191198786039454
junction(30-59),30,60,482,219,0.6867220401763916,0.26484018564224243,0.7579908675799086
late(60+),60,10000,11,0,,,
