wall_time,step,value
1776792568.4703329,12288,0.0
1776792574.088796,20480,0.0
1776792581.678273,32768,0.0
1776792587.289622,40960,0.0
1776792594.8952372,53248,0.0
1776792600.513363,61440,0.0
1776792608.155408,73728,0.0
1776792613.739855,81920,0.0
1776792618.924428,90112,0.24838541448116302
1776792626.518603,102400,0.0
1776792631.529609,110592,0.3797265589237213
1776792638.191524,122880,0.6002864837646484
1776792643.171066,131072,0.3855859339237213
1776792649.3080761,143360,0.9565234184265137
1776792653.408876,151552,0.9576953053474426
1776792659.576587,163840,0.9595702886581421
1776792663.746867,172032,0.9623827934265137
1776792667.8726091,180224,0.9637890458106995
1776792674.071121,192512,0.9654296636581421
1776792678.251382,200704,0.9655468463897705
1776792684.435358,212992,0.966601550579071
1776792688.569896,221184,0.966601550579071
1776792694.871922,233472,0.9668359160423279
1776792698.996012,241664,0.9668359160423279
1776792705.150272,253952,0.9669530987739563
1776792709.315539,262144,0.9669530987739563
1776792713.449586,270336,0.966015636920929
1776792719.620115,282624,0.966601550579071
1776792723.757123,290816,0.9668359160423279
1776792729.960865,303104,0.9658984541893005
1776792734.11504,311296,0.9656640887260437
1776792740.2510562,323584,0.9662500023841858
1776792744.451967,331776,0.9664843678474426
1776792750.6442502,344064,0.9664843678474426
1776792754.7944078,352256,0.9669530987739563
1776792758.921515,360448,0.9667187333106995
1776792765.062585,372736,0.9664843678474426
1776792769.217387,380928,0.966015636920929
1776792775.333472,393216,0.9658984541893005
1776792779.487836,401408,0.9658984541893005
1776792785.766717,413696,0.9654296636581421
1776792789.903747,421888,0.9654296636581421
1776792794.069559,430080,0.9653124809265137
1776792800.279451,442368,0.9654296636581421
1776792804.452647,450560,0.9654296636581421
1776792810.6232781,462848,0.9649609327316284
1776792814.8247418,471040,0.9651952981948853
1776792821.152677,483328,0.8670703172683716
1776792825.327025,491520,0.9651952981948853
1776792831.526887,503808,0.9657812714576721
1776792835.640589,512000,0.9663671851158142
1776792839.8516412,520192,0.9664843678474426
1776792846.4562309,532480,0.9662500023841858
1776792850.5647,540672,0.9664843678474426
1776792856.938797,552960,0.9662500023841858
1776792861.2266922,561152,0.9658984541893005
1776792867.821144,573440,0.9663671851158142
1776792872.064095,581632,0.9658984541893005
1776792878.330303,593920,0.9663671851158142
1776792882.550442,602112,0.9663671851158142
1776792886.7202199,610304,0.9662500023841858
1776792892.8481019,622592,0.9658984541893005
1776792896.9476988,630784,0.9656640887260437
1776792903.1578848,643072,0.9654296636581421
1776792907.27214,651264,0.9654296636581421
1776792913.413281,663552,0.9651952981948853
1776792917.521142,671744,0.9654296636581421
1776792923.720691,684032,0.9654296636581421
1776792927.863714,692224,0.9651952981948853
1776792931.992834,700416,0.9651952981948853
1776792938.173087,712704,0.9654296636581421
