wall_time,step,value
1776519627.733642,12288,0.0
1776519705.676863,24576,0.0
1776519777.6714358,30720,0.0074869790114462376
1776519880.877354,43008,0.0
1776519947.9994864,55296,0.0
1776520009.8401608,61440,0.003541666781529784
1776520082.5604124,73728,0.0
1776520162.9728057,86016,0.003893229179084301
1776520195.4013958,92160,0.0
1776520250.5090237,104448,0.0
1776520320.842763,110592,0.01700520794838667
1776520395.5108757,122880,0.0
1776520468.682266,135168,0.0
1776520536.3747473,141312,0.011158853769302368
1776520615.5632935,153600,0.0
1776520706.3216915,165888,0.006588541436940432
1776520754.4030895,172032,0.0
1776520808.713149,184320,0.0
1776520856.235297,190464,0.0
1776520908.4588044,202752,0.007955729030072689
1776520972.8019326,215040,0.0027604165952652693
1776521024.1098328,221184,0.0034635416232049465
1776521081.1105728,233472,0.0
1776521142.3304234,245760,0.0
1776521190.570646,251904,0.002955729141831398
1776521273.6700547,264192,0.0
1776521318.8941507,270336,0.0
1776521370.7257416,282624,0.0
1776521422.420588,294912,0.0
1776521467.242111,301056,0.0
1776521518.4046795,313344,0.0
1776521584.463593,325632,0.0
1776521636.1695437,331776,0.0
1776521688.2446184,344064,0.0
1776521733.1892319,350208,0.0
1776521783.9945621,362496,0.0
1776521835.6228786,374784,0.0
1776521907.619524,380928,0.011901041492819786
1776521989.1472425,393216,0.0027213541325181723
1776522053.0166936,405504,0.0
1776522097.1232936,411648,0.0063151041977107525
1776522172.2130847,423936,0.0
1776522248.2822013,430080,0.0
1776522334.4895058,442368,0.0
1776522409.1902213,454656,0.0
1776522463.5310225,460800,0.0042838542722165585
1776522534.8575573,473088,0.0
1776522622.1399584,485376,0.0
1776522699.6504474,491520,0.0
1776522780.0073218,503808,0.0
1776522865.0411172,516096,0.0
1776522935.611577,522240,0.0
1776523005.7805598,534528,0.012174478732049465
1776523067.3917406,540672,0.0
1776523136.4986353,552960,0.005143229383975267
1776523205.9171014,565248,0.0
1776523265.401403,571392,0.0
1776523332.8637128,583680,0.0
1776523396.182045,595968,0.0
1776523456.2999997,602112,0.0
1776523520.5789924,614400,0.0
1776523571.4281573,620544,0.0
1776523640.9097474,632832,0.0
1776523708.2545338,645120,0.0
1776523766.3000255,651264,0.0
1776523833.8567936,663552,0.0
1776523903.7874708,675840,0.0
1776523963.5525303,681984,0.0
1776524030.6173737,694272,0.0
1776524089.1310613,700416,0.0
1776524156.387398,712704,0.0
1776524223.899263,724992,0.0
1776524282.7006817,731136,0.0
1776524350.4902377,743424,0.0
1776524417.427137,755712,0.0023697917349636555
1776524475.5429168,761856,0.0
1776524543.4056153,774144,0.0
1776524602.8861775,780288,0.0
1776524670.3360207,792576,0.0
1776524737.5429063,804864,0.0
1776524795.8328452,811008,0.0
1776524863.3391762,823296,0.0
1776524930.7467506,835584,0.0
1776524989.032277,841728,0.0
1776525056.9388556,854016,0.0
1776525116.70555,860160,0.0
1776525185.689557,872448,0.0
1776525253.824009,884736,0.0
1776525309.0824986,890880,0.0
1776525380.0711336,903168,0.004986979067325592
1776525448.9812424,915456,0.0
1776525509.308803,921600,0.0
1776525578.2084088,933888,0.0
1776525639.4667945,940032,0.0
1776525708.8098595,952320,0.0
1776525779.866292,964608,0.0
1776525841.412609,970752,0.0
1776525909.6676788,983040,0.0
1776525977.990862,995328,0.0
1776526039.587731,1001472,0.0
1776526108.669216,1013760,0.0
1776526175.717268,1026048,0.0
1776526235.351141,1032192,0.0
1776526305.0175276,1044480,0.0
1776526365.6374032,1050624,0.0
1776526433.8427107,1062912,0.0
1776526501.1207716,1075200,0.0
1776526560.8088355,1081344,0.0
1776526628.6109898,1093632,0.0
1776526697.2002316,1105920,0.0
1776526757.670901,1112064,0.0
1776526824.9460502,1124352,0.0
1776526883.3876274,1130496,0.0
1776526952.873188,1142784,0.0
1776527021.9128547,1155072,0.0
1776527080.770647,1161216,0.0
1776527148.2563853,1173504,0.0
1776527217.9506779,1185792,0.0
1776527277.4679308,1191936,0.0
1776527346.5504282,1204224,0.0
1776527408.667925,1210368,0.0
1776527478.5105696,1222656,0.0
1776527547.964213,1234944,0.0
1776527607.6440897,1241088,0.0
1776527679.0838013,1253376,0.0
1776527748.4257019,1265664,0.0
1776527808.3790703,1271808,0.0
1776527878.0811396,1284096,0.0
1776527934.975605,1290240,0.0
1776528004.1556664,1302528,0.0
1776528072.2939208,1314816,0.0
1776528134.0524745,1320960,0.0
1776528205.0058184,1333248,0.0
1776528274.03658,1345536,0.0
1776528335.6104722,1351680,0.0
1776528406.8448918,1363968,0.0
1776528464.2808545,1370112,0.0
1776528533.6382813,1382400,0.0
1776528605.119142,1394688,0.0
1776528666.7875974,1400832,0.0
1776528735.3242822,1413120,0.0
1776528803.2023988,1425408,0.0
1776528863.440821,1431552,0.0
1776528932.2324944,1443840,0.0
1776528999.6369412,1456128,0.0
1776529059.9532084,1462272,0.0
1776529129.8241487,1474560,0.0
1776529189.594017,1480704,0.0
1776529257.9300556,1492992,0.0
1776529327.5965734,1505280,0.0
1776529388.1291823,1511424,0.0
1776529457.089256,1523712,0.0
1776529525.459697,1536000,0.0
1776529585.659123,1542144,0.0
1776529654.3200748,1554432,0.0
1776529714.31816,1560576,0.0
1776529783.3391557,1572864,0.0
1776529851.1684604,1585152,0.0
1776529911.4873648,1591296,0.0
1776529979.3156447,1603584,0.0
1776530049.8245833,1615872,0.0
1776530109.4620981,1622016,0.0
1776530178.4398642,1634304,0.0
1776530239.3533158,1640448,0.0
1776530309.4073448,1652736,0.0
1776530380.0765848,1665024,0.0
1776530440.7128496,1671168,0.0
1776530512.7452414,1683456,0.0
1776530581.8057618,1695744,0.0
1776530642.6699069,1701888,0.0
1776530712.549652,1714176,0.0
1776530774.422089,1720320,0.0
1776530843.7160037,1732608,0.0
