wall_time,step,value
1776823582.26156,12288,0.0
1776823588.057269,20480,0.0
1776823596.48431,32768,0.0
1776823602.682213,40960,0.0
1776823610.3822951,53248,0.0
1776823616.353011,61440,0.0
1776823624.209396,73728,0.0
1776823630.013213,81920,0.0
1776823635.8122299,90112,0.0
1776823644.1427798,102400,0.0
1776823649.9918249,110592,0.0
1776823657.966978,122880,0.0
1776823663.653749,131072,0.0
1776823671.4228601,143360,0.0
1776823677.144656,151552,0.0
1776823684.9759061,163840,0.0
1776823691.064251,172032,0.0
1776823697.247726,180224,0.0
1776823705.467166,192512,0.0
1776823711.2431622,200704,0.0
1776823719.5407228,212992,0.0
1776823725.435041,221184,0.0
1776823733.245034,233472,0.0
1776823739.1732008,241664,0.0
1776823747.0259972,253952,0.0
1776823752.840108,262144,0.0
1776823758.7721229,270336,0.0
1776823766.670818,282624,0.0
1776823772.373161,290816,0.0
1776823780.0654368,303104,0.0
1776823785.73913,311296,0.0
1776823793.46624,323584,0.0
1776823799.2491698,331776,0.0
1776823806.945153,344064,0.0
1776823812.711991,352256,0.0
1776823818.392582,360448,0.0
1776823826.116873,372736,0.0
1776823831.82129,380928,0.0
1776823839.979902,393216,0.0
1776823845.717421,401408,0.0
1776823853.490675,413696,0.0
1776823859.257984,421888,0.0
1776823865.186765,430080,0.0
1776823872.859858,442368,0.0
1776823878.5510988,450560,0.0
1776823886.31499,462848,0.0
1776823892.2796302,471040,0.0
1776823900.053216,483328,0.0
1776823905.9108129,491520,0.0
1776823913.8910599,503808,0.0
1776823919.55716,512000,0.0
1776823925.29541,520192,0.0
1776823933.068031,532480,0.0
1776823938.694701,540672,0.0
1776823946.3700411,552960,0.0
1776823952.050994,561152,0.0
1776823959.8208058,573440,0.0
1776823965.494875,581632,0.0
1776823973.26416,593920,0.0
1776823979.0340328,602112,0.0
1776823984.790796,610304,0.0
1776823992.525664,622592,0.0
1776823998.161929,630784,0.0
1776824005.8618581,643072,0.0
1776824011.5056572,651264,0.0
1776824019.170057,663552,0.0
1776824024.89782,671744,0.0
1776824032.577287,684032,0.0
1776824038.412139,692224,0.0
1776824044.259727,700416,0.0
1776824052.039828,712704,0.0
1776824057.776077,720896,0.0
1776824065.41654,733184,0.0
1776824071.0278661,741376,0.0
1776824078.7282,753664,0.0
1776824084.346853,761856,0.0
1776824089.983254,770048,0.0
1776824097.692676,782336,0.0
1776824103.374686,790528,0.0
1776824111.199858,802816,0.0
1776824117.005871,811008,0.0
1776824124.708312,823296,0.0
1776824130.435791,831488,0.0
1776824138.161091,843776,0.0
1776824143.8730319,851968,0.0
1776824149.582772,860160,0.0
1776824157.292019,872448,0.0
1776824163.0443761,880640,0.0
1776824170.8319821,892928,0.0
1776824176.550109,901120,0.0
1776824184.1698492,913408,0.0
1776824189.836601,921600,0.0
1776824197.484256,933888,0.0
1776824203.189249,942080,0.0
1776824208.863729,950272,0.0
1776824216.658614,962560,0.0
1776824222.353618,970752,0.0
1776824230.1467142,983040,0.0
1776824235.929499,991232,0.0
1776824244.1392598,1003520,0.0
1776824249.803178,1011712,0.0
1776824257.515778,1024000,0.0
1776824263.2149498,1032192,0.0
1776824268.890681,1040384,0.0
1776824276.5798259,1052672,0.0
1776824282.276706,1060864,0.0
1776824289.986584,1073152,0.0
1776824295.765144,1081344,0.0
1776824303.466741,1093632,0.0
1776824309.151159,1101824,0.0
1776824314.856859,1110016,0.0
1776824322.570984,1122304,0.0
1776824328.2791512,1130496,0.0
1776824336.0318851,1142784,0.0
1776824341.732679,1150976,0.0
1776824350.052168,1163264,0.0
1776824355.7968938,1171456,0.0
1776824363.44635,1183744,0.0
1776824369.130035,1191936,0.0
1776824374.829133,1200128,0.0
1776824382.583634,1212416,0.0
1776824388.35636,1220608,0.0
1776824396.106145,1232896,0.0
1776824401.821989,1241088,0.0
1776824409.558676,1253376,0.0
1776824415.340656,1261568,0.0
1776824423.046664,1273856,0.0
1776824428.758618,1282048,0.0
1776824434.4483058,1290240,0.0
1776824442.096214,1302528,0.0
1776824447.720662,1310720,0.0
1776824455.639541,1323008,0.0
1776824461.363639,1331200,0.0
1776824469.053677,1343488,0.0
1776824474.7824588,1351680,0.0
1776824482.436859,1363968,0.0
1776824488.051741,1372160,0.0
1776824493.641077,1380352,0.0
1776824501.342279,1392640,0.0
1776824507.007342,1400832,0.0
1776824514.678331,1413120,0.0
1776824520.38122,1421312,0.0
1776824528.144772,1433600,0.0
1776824533.885998,1441792,0.0
1776824541.56388,1454080,0.0
1776824547.262101,1462272,0.0
1776824552.967843,1470464,0.0
1776824560.829311,1482752,0.0
1776824566.530625,1490944,0.0
1776824574.279505,1503232,0.0
1776824579.976483,1511424,0.0
1776824587.672665,1523712,0.0
1776824593.448715,1531904,0.0
1776824599.158529,1540096,0.0
1776824606.881654,1552384,0.0
1776824612.581701,1560576,0.0
1776824620.35963,1572864,0.0
1776824626.0468009,1581056,0.0
1776824633.743692,1593344,0.0
1776824639.4763,1601536,0.0
1776824647.162174,1613824,0.0
1776824652.925291,1622016,0.0
1776824658.6650062,1630208,0.0
1776824666.405355,1642496,0.0
1776824672.081857,1650688,0.0
1776824679.829366,1662976,0.0
1776824685.45349,1671168,0.0
1776824693.0734231,1683456,0.0
1776824698.794268,1691648,0.0
1776824706.538893,1703936,0.0
1776824712.33266,1712128,0.0
1776824718.017409,1720320,0.0
1776824725.898867,1732608,0.0
1776824731.465784,1740800,0.0
1776824739.054625,1753088,0.0
1776824744.669499,1761280,0.0
1776824752.235322,1773568,0.0
1776824757.838208,1781760,0.0
1776824766.648154,1794048,0.0
1776824772.47893,1802240,0.0
1776824778.09344,1810432,0.0
1776824785.72894,1822720,0.0
1776824791.452277,1830912,0.0
1776824799.162281,1843200,0.0
1776824804.8632169,1851392,0.0
1776824812.5515678,1863680,0.0
1776824818.266881,1871872,0.0
1776824823.9855611,1880064,0.0
1776824831.778255,1892352,0.0
1776824837.5236428,1900544,0.0
1776824845.771189,1912832,0.0
1776824851.4772391,1921024,0.0
1776824859.224579,1933312,0.0
1776824864.949255,1941504,0.0
1776824872.745528,1953792,0.0
1776824878.5415099,1961984,0.0
1776824884.3228931,1970176,0.0
1776824892.2240279,1982464,0.0
1776824897.963905,1990656,0.0
1776824905.692557,2002944,0.0
1776824911.36352,2011136,0.0
1776824919.1241112,2023424,0.0
1776824924.812007,2031616,0.0
1776824932.518419,2043904,0.0
1776824938.262453,2052096,0.0
1776824943.951044,2060288,0.0
1776824951.650602,2072576,0.0
1776824957.413853,2080768,0.0
1776824965.054243,2093056,0.0
1776824970.70693,2101248,0.0
1776824978.359364,2113536,0.0
1776824983.9831512,2121728,0.0
1776824991.5793211,2134016,0.0
