wall_time,step,value
1776820192.58928,12288,0.0
1776820198.5041459,20480,0.0
1776820206.6627462,32768,0.0
1776820212.354785,40960,0.0
1776820220.079328,53248,0.0
1776820225.9813209,61440,0.0
1776820233.638885,73728,0.0
1776820239.398037,81920,0.0
1776820245.2309382,90112,0.0
1776820253.1343958,102400,0.0
1776820258.8040462,110592,0.0
1776820266.658475,122880,0.0
1776820272.352111,131072,0.0
1776820280.0334709,143360,0.0
1776820285.753642,151552,0.0
1776820293.438252,163840,0.0
1776820299.1543639,172032,0.0
1776820304.899702,180224,0.0
1776820312.5873952,192512,0.0
1776820318.310817,200704,0.0
1776820326.071142,212992,0.0
1776820331.8094661,221184,0.0
1776820339.502518,233472,0.0
1776820345.2085729,241664,0.0
1776820352.8490071,253952,0.0
1776820358.600354,262144,0.0
1776820364.283372,270336,0.0
1776820371.9536629,282624,0.0
1776820377.6681821,290816,0.0
1776820385.3900118,303104,0.0
1776820391.1988218,311296,0.0
1776820398.902831,323584,0.0
1776820404.603965,331776,0.0
1776820412.2250812,344064,0.0
1776820417.9937532,352256,0.0
1776820423.6945112,360448,0.0
1776820431.3751569,372736,0.0
1776820437.0877929,380928,0.0
1776820444.830841,393216,0.0
1776820450.476813,401408,0.0
1776820458.2110279,413696,0.0
1776820463.8888261,421888,0.0
1776820469.54658,430080,0.0
1776820477.207977,442368,0.0
1776820482.916748,450560,0.0
1776820490.547563,462848,0.0
1776820496.2535522,471040,0.0
1776820503.932251,483328,0.0
1776820509.592191,491520,0.0
1776820517.3133109,503808,0.0
1776820522.9928699,512000,0.0
1776820528.63279,520192,0.0
1776820536.345227,532480,0.0
1776820542.0146601,540672,0.0
1776820549.7498722,552960,0.0
1776820555.486041,561152,0.0
1776820563.601079,573440,0.0
1776820569.5454772,581632,0.0
1776820577.530984,593920,0.0
1776820583.7592409,602112,0.0
1776820589.458703,610304,0.0
1776820597.588116,622592,0.0
1776820603.478959,630784,0.0
1776820611.176865,643072,0.0
1776820616.905691,651264,0.0
1776820624.633217,663552,0.0
1776820630.386258,671744,0.0
1776820638.137103,684032,0.0
1776820643.823166,692224,0.0
1776820649.523872,700416,0.0
1776820657.215552,712704,0.0
1776820662.883487,720896,0.0
1776820670.571475,733184,0.0
1776820676.25349,741376,0.0
1776820683.964283,753664,0.0
1776820689.70523,761856,0.0
1776820695.5225668,770048,0.0
1776820703.8143759,782336,0.0
1776820709.629172,790528,0.0
1776820717.2860339,802816,0.0
1776820722.933525,811008,0.0
1776820730.658988,823296,0.0
1776820736.433814,831488,0.0
1776820745.074235,843776,0.0
1776820751.199882,851968,0.0
1776820757.044037,860160,0.0
1776820764.9627929,872448,0.0
1776820770.738302,880640,0.0
1776820778.7785542,892928,0.0
1776820784.924198,901120,0.0
1776820793.546088,913408,0.0
1776820799.332045,921600,0.0
1776820807.262291,933888,0.0
