wall_time,step,value
1776821887.4254198,12288,0.0
1776821893.2807074,20480,0.0
1776821901.573528,32768,0.0
1776821907.518499,40960,0.0
1776821915.2308116,53248,0.0
1776821921.1671658,61440,0.0
1776821928.9241405,73728,0.0
1776821934.705625,81920,0.0
1776821940.521584,90112,0.0
1776821948.638588,102400,0.0
1776821954.3979354,110592,0.0
1776821962.3127265,122880,0.0
1776821968.0029302,131072,0.0
1776821975.7281656,143360,0.0
1776821981.4491491,151552,0.0
1776821989.207079,163840,0.0
1776821995.1093073,172032,0.0
1776822001.073714,180224,0.0
1776822009.0272806,192512,0.0
1776822014.7769895,200704,0.0
1776822022.8059325,212992,0.0
1776822028.6222534,221184,0.0
1776822036.373776,233472,0.0
1776822042.190887,241664,0.0
1776822049.9375021,253952,0.0
1776822055.720231,262144,0.0
1776822061.5277474,270336,0.0
1776822069.3122406,282624,0.0
1776822075.0206716,290816,0.0
1776822082.7277243,303104,0.0
1776822088.468976,311296,0.0
1776822096.1845355,323584,0.0
1776822101.9265676,331776,0.0
1776822109.585117,344064,0.0
1776822115.3528721,352256,0.0
1776822121.0435467,360448,0.0
1776822128.746015,372736,0.0
1776822134.4545414,380928,0.0
1776822142.4053717,393216,0.0
1776822148.097117,401408,0.0
1776822155.8508515,413696,0.0
1776822161.573405,421888,0.0
1776822167.3666725,430080,0.0
1776822175.0339174,442368,0.0
1776822180.7339234,450560,0.0
1776822188.4312766,462848,0.0
1776822194.266591,471040,0.0
1776822201.9927335,483328,0.0
1776822207.751502,491520,0.0
1776822215.6021852,503808,0.0
1776822221.2750149,512000,0.0
1776822226.9641,520192,0.0
1776822234.706629,532480,0.0
1776822240.3546805,540672,0.0
1776822248.0599566,552960,0.0
1776822253.7685175,561152,0.0
1776822261.7109423,573440,0.0
1776822267.520176,581632,0.0
1776822275.397572,593920,0.0
1776822281.396637,602112,0.0
1776822287.1247497,610304,0.0
1776822295.05689,622592,0.0
1776822300.820444,630784,0.0
1776822308.5193615,643072,0.0
1776822314.2056742,651264,0.0
1776822321.901637,663552,0.0
1776822327.6420388,671744,0.0
1776822335.357195,684032,0.0
1776822341.1176524,692224,0.0
1776822346.8917994,700416,0.0
1776822354.62769,712704,0.0
1776822360.329782,720896,0.0
1776822367.9940076,733184,0.0
1776822373.640678,741376,0.0
1776822381.3462415,753664,0.0
1776822387.0260415,761856,0.0
1776822392.7529104,770048,0.0
1776822400.753526,782336,0.0
1776822406.501929,790528,0.0
1776822414.242946,802816,0.0
1776822419.969698,811008,0.0
1776822427.68365,823296,0.0
1776822433.4348025,831488,0.0
1776822441.617663,843776,0.0
1776822447.536457,851968,0.0
1776822453.3134046,860160,0.0
1776822461.127406,872448,0.0
1776822466.891339,880640,0.0
1776822474.8052683,892928,0.0
1776822480.7371535,901120,0.0
1776822488.8579686,913408,0.0
1776822494.584323,921600,0.0
1776822502.3732734,933888,0.0
1776822508.1341076,942080,0.0
1776822514.0186958,950272,0.0
1776822521.917548,962560,0.0
1776822527.6303825,970752,0.0
1776822535.5329285,983040,0.0
1776822541.3895946,991232,0.0
1776822549.3976111,1003520,0.0
1776822555.0784016,1011712,0.0
1776822562.809781,1024000,0.0
1776822568.5208492,1032192,0.0
1776822574.2067826,1040384,0.0
1776822581.898023,1052672,0.0
1776822587.5916882,1060864,0.0
1776822595.338221,1073152,0.0
1776822601.087915,1081344,0.0
1776822608.799461,1093632,0.0
1776822614.486716,1101824,0.0
1776822620.2012963,1110016,0.0
1776822627.9314225,1122304,0.0
1776822633.6320896,1130496,0.0
1776822641.363636,1142784,0.0
1776822647.0738769,1150976,0.0
1776822655.0949044,1163264,0.0
1776822660.8052182,1171456,0.0
1776822668.4769151,1183744,0.0
1776822674.1680984,1191936,0.0
1776822679.8736777,1200128,0.0
1776822687.634534,1212416,0.0
1776822693.3819146,1220608,0.0
1776822701.1089826,1232896,0.0
1776822706.7953396,1241088,0.0
1776822714.5400329,1253376,0.0
1776822720.3093371,1261568,0.0
1776822728.0294285,1273856,0.0
1776822733.756936,1282048,0.0
1776822739.4558449,1290240,0.0
1776822747.1732194,1302528,0.0
1776822752.8319821,1310720,0.0
1776822760.648707,1323008,0.0
1776822766.3556857,1331200,0.0
1776822774.059295,1343488,0.0
1776822779.7722535,1351680,0.0
1776822787.448318,1363968,0.0
1776822793.103189,1372160,0.0
1776822798.7580557,1380352,0.0
1776822806.4975257,1392640,0.0
1776822812.154521,1400832,0.0
1776822820.085238,1413120,0.0
1776822825.7450671,1421312,0.0
1776822833.474005,1433600,0.0
1776822839.1843376,1441792,0.0
1776822846.929542,1454080,0.0
1776822852.6145473,1462272,0.0
1776822858.3119721,1470464,0.0
1776822866.0976067,1482752,0.0
1776822871.7887073,1490944,0.0
1776822879.498694,1503232,0.0
1776822885.179914,1511424,0.0
1776822892.8752737,1523712,0.0
1776822898.600595,1531904,0.0
1776822904.2868044,1540096,0.0
1776822912.027616,1552384,0.0
1776822917.7197576,1560576,0.0
1776822925.4487026,1572864,0.0
1776822931.11936,1581056,0.0
1776822938.8002396,1593344,0.0
1776822944.4937925,1601536,0.0
1776822952.1712599,1613824,0.0
1776822957.8885407,1622016,0.0
1776822963.600953,1630208,0.0
1776822971.3107145,1642496,0.0
1776822976.9961572,1650688,0.0
1776822984.718893,1662976,0.0
1776822990.41191,1671168,0.0
1776822998.097796,1683456,0.0
1776823003.820653,1691648,0.0
1776823011.5599675,1703936,0.0
1776823017.3116555,1712128,0.0
1776823023.0103288,1720320,0.0
1776823030.8025525,1732608,0.0
1776823036.4631891,1740800,0.0
1776823044.1460004,1753088,0.0
1776823049.792575,1761280,0.0
1776823057.4341605,1773568,0.0
1776823063.100947,1781760,0.0
1776823071.3693018,1794048,0.0
1776823077.1261365,1802240,0.0
1776823082.784584,1810432,0.0
1776823090.438736,1822720,0.0
1776823096.1635013,1830912,0.0
1776823103.928482,1843200,0.0
1776823109.6709983,1851392,0.0
1776823117.3820753,1863680,0.0
