Wall time,Step,Value
1776656851.256402,12288,0.13127604126930237
1776656875.1269658,24576,0.19942708313465118
1776656899.2232544,36864,0.15593749284744263
1776656929.1778128,49152,0.044088542461395264
1776656957.324956,61440,0.19614583253860474
1776656983.9708652,73728,0.12864583730697632
1776657011.5283673,86016,0.13463541865348816
1776657035.9414198,98304,0.15138021111488342
1776657064.5850704,110592,0.15247395634651184
1776657090.731194,122880,0.25296875834465027
1776657117.7326486,135168,0.14856770634651184
1776657141.9189258,147456,0.11411458253860474
1776657167.5187435,159744,0.18859374523162842
1776657189.4297254,172032,0.3128906190395355
1776657213.9658098,184320,0.20221354067325592
1776657231.372763,196608,0.3983854055404663
1776657251.8434167,208896,0.36625000834465027
1776657275.0255747,221184,0.23153646290302277
1776657300.666886,233472,0.16283854842185974
1776657323.005978,245760,0.12140624970197678
1776657345.9242947,258048,0.23304687440395355
1776657366.5417223,270336,0.23265625536441803
1776657387.0396974,282624,0.1796354204416275
1776657407.2665782,294912,0.25437501072883606
1776657426.902845,307200,0.28437501192092896
1776657445.4327347,319488,0.23734374344348907
1776657463.5894375,331776,0.2768489718437195
1776657482.528987,344064,0.25153645873069763
1776657499.2774193,356352,0.3343489468097687
1776657515.3546095,368640,0.24231770634651184
1776657535.1435788,380928,0.32820311188697815
1776657552.8285797,393216,0.2542968690395355
1776657567.2375085,405504,0.3025260269641876
1776657581.1008356,417792,0.29494792222976685
1776657593.1187994,430080,0.3982812464237213
1776657605.9787986,442368,0.5815104246139526
1776657617.1398685,454656,0.4902864694595337
1776657627.3353293,466944,0.48770833015441895
1776657636.7832656,479232,0.4442448019981384
1776657648.1226397,491520,0.4995052218437195
1776657659.072047,503808,0.4653906226158142
1776657669.6504147,516096,0.5283854007720947
1776657679.3992438,528384,0.4452604055404663
1776657689.2034502,540672,0.4020051956176758
1776657698.3324282,552960,0.48726561665534973
1776657708.6648617,565248,0.522447943687439
1776657718.6903646,577536,0.4533854126930237
1776657728.4670224,589824,0.5684375166893005
1776657737.78164,602112,0.44799479842185974
1776657747.3283992,614400,0.3447916805744171
1776657757.0359936,626688,0.37476563453674316
1776657767.5229409,638976,0.5082551836967468
1776657777.8485582,651264,0.4305729269981384
1776657787.487437,663552,0.2565104067325592
1776657797.59955,675840,0.4740625023841858
1776657807.9475656,688128,0.47664061188697815
1776657818.0219653,700416,0.5419010519981384
1776657828.6384258,712704,0.3446354269981384
1776657843.8969734,724992,0.538072943687439
1776657866.0418947,737280,0.6164323091506958
1776657881.0383604,749568,0.4772656261920929
1776657891.717219,761856,0.49591144919395447
1776657901.5148942,774144,0.47648438811302185
1776657911.1197236,786432,0.4155208468437195
1776657921.031054,798720,0.6100521087646484
1776657931.0515347,811008,0.5411198139190674
1776657940.7539392,823296,0.48070311546325684
1776657950.4883456,835584,0.531822919845581
1776657959.7851865,847872,0.44549480080604553
1776657969.1548724,860160,0.3782031238079071
1776657978.331842,872448,0.6375260353088379
1776657987.7089593,884736,0.5030208230018616
1776657997.1435704,897024,0.5713281035423279
1776658007.212565,909312,0.4481510519981384
1776658017.4835563,921600,0.41028645634651184
1776658027.623113,933888,0.5736718773841858
1776658037.1573124,946176,0.4392447769641876
1776658046.3606877,958464,0.5744531154632568
1776658055.6501155,970752,0.7017708420753479
1776658065.4962516,983040,0.3164583444595337
1776658075.6033294,995328,0.5423697829246521
1776658085.5402384,1007616,0.2874999940395355
1776658095.1750264,1019904,0.5070833563804626
1776658104.6564322,1032192,0.5041927099227905
1776658114.0298374,1044480,0.4801562428474426
