Wall time,Step,Value
1776731515.4051816,12288,0.04192708432674408
1776731540.4801607,20480,0.039179686456918716
1776731570.0844154,32768,0.03947916626930237
1776731595.4693396,40960,0.10455729067325592
1776731625.9696445,53248,0.061380207538604736
1776731651.370565,61440,0.07216145843267441
1776731679.2499666,73728,0.05546874925494194
1776731706.5570166,81920,0.019843749701976776
1776731732.1855006,90112,0.043111979961395264
1776731759.11057,102400,0.12053385376930237
1776731781.4095063,110592,0.14162760972976685
1776731808.172726,122880,0.21888020634651184
1776731831.5165148,131072,0.2707942724227905
1776731854.742697,143360,0.40035155415534973
1776731873.9710763,151552,0.45179688930511475
1776731897.9976,163840,0.4565364718437195
1776731917.8345325,172032,0.6061588525772095
1776731933.135701,180224,0.7348697781562805
1776731972.2012625,192512,0.7566666603088379
1776731999.5840487,200704,0.8134375214576721
1776732030.758903,212992,0.8559244871139526
1776732041.880289,221184,0.8627213835716248
1776732056.450948,233472,0.9055469036102295
1776732066.4379234,241664,0.9126952886581421
1776732080.4673984,253952,0.9322656393051147
1776732090.481834,262144,0.9358984231948853
1776732100.0592375,270336,0.9428125023841858
1776732113.712352,282624,0.9452734589576721
1776732123.0923011,290816,0.9478515386581421
1776732142.3417728,303104,0.951367199420929
1776732164.3649497,311296,0.9557031393051147
1776732196.2826567,323584,0.9551171660423279
1776732217.8481653,331776,0.9552343487739563
1776732237.1814177,344064,0.9587500095367432
1776732247.9668984,352256,0.9579296708106995
1776732257.5807586,360448,0.9600390791893005
1776732271.538922,372736,0.9588671922683716
1776732281.5246387,380928,0.9586328268051147
1776732296.6903157,393216,0.9593359231948853
1776732307.3924513,401408,0.9594531059265137
1776732322.7914722,413696,0.9591015577316284
1776732333.1310732,421888,0.9586328268051147
1776732343.794867,430080,0.9423437714576721
1776732358.981331,442368,0.9603906273841858
1776732369.1109998,450560,0.9602734446525574
1776732382.9849606,462848,0.9593359231948853
1776732392.3694968,471040,0.958984375
1776732406.023695,483328,0.9596874713897705
1776732415.864625,491520,0.9596874713897705
1776732430.333031,503808,0.9609765410423279
1776732439.9334922,512000,0.9603906273841858
1776732450.1201606,520192,0.9609765410423279
1776732464.622109,532480,0.928697943687439
1776732474.0959578,540672,0.9612109661102295
1776732487.8375561,552960,0.9606249928474426
1776732497.3695612,561152,0.9609765410423279
1776732511.4184299,573440,0.9614453315734863
1776732534.9155529,581632,0.9628515839576721
1776732570.0492501,593920,0.9627344012260437
1776732593.08776,602112,0.9626171588897705
1776732616.1282048,610304,0.963085949420929
1776732649.845427,622592,0.9624999761581421
1776732672.6198118,630784,0.9620312452316284
1776732706.3067927,643072,0.9627344012260437
1776732729.5723991,651264,0.9627344012260437
1776732763.3202748,663552,0.9621484279632568
1776732786.8912947,671744,0.9614453315734863
1776732820.7537158,684032,0.9603906273841858
1776732843.746923,692224,0.9627344012260437
1776732866.9263046,700416,0.9632031321525574
1776732900.9690742,712704,0.9624999761581421
1776732917.3469548,720896,0.963085949420929
1776732945.3036876,733184,0.9629687666893005
1776732969.0182354,741376,0.9633203148841858
1776733004.464204,753664,0.9634374976158142
1776733027.8153615,761856,0.963085949420929
1776733051.2857125,770048,0.9634374976158142
1776733080.4853888,782336,0.9628515839576721
1776733090.7740138,790528,0.9632031321525574
1776733105.7405486,802816,0.9632031321525574
1776733123.5649881,811008,0.9626171588897705
1776733157.1747773,823296,0.9617968797683716
1776733179.500122,831488,0.9610937237739563
1776733196.7076185,843776,0.9623827934265137
1776733206.4583063,851968,0.9612109661102295
1776733216.058415,860160,0.9623827934265137
1776733230.2970207,872448,0.9623827934265137
1776733240.2866058,880640,0.9614453315734863
1776733255.3467607,892928,0.9617968797683716
1776733265.8130546,901120,0.9619140625
1776733279.3533456,913408,0.9628515839576721
1776733288.6446772,921600,0.9619140625
1776733303.0641594,933888,0.9628515839576721
1776733313.8391402,942080,0.9626171588897705
1776733324.2165282,950272,0.9629687666893005
1776733338.207188,962560,0.9623827934265137
1776733347.74584,970752,0.9620312452316284
1776733362.4869847,983040,0.9622656106948853
1776733380.1868727,991232,0.9621484279632568
1776733412.7814696,1003520,0.9627344012260437
1776733435.8579159,1011712,0.9621484279632568
1776733471.7902393,1024000,0.9624999761581421
1776733496.745984,1032192,0.9623827934265137
1776733521.1075525,1040384,0.9615625143051147
1776733554.6016624,1052672,0.9623827934265137
1776733577.4658477,1060864,0.9627344012260437
1776733611.4612212,1073152,0.9620312452316284
1776733634.1839635,1081344,0.9621484279632568
1776733668.0903084,1093632,0.9622656106948853
1776733690.69605,1101824,0.9622656106948853
1776733713.0162926,1110016,0.9616796970367432
1776733745.96482,1122304,0.9619140625
1776733768.506068,1130496,0.9615625143051147
1776733801.4658382,1142784,0.9623827934265137
1776733824.0992615,1150976,0.9629687666893005
1776733858.2195072,1163264,0.9622656106948853
1776733880.4197447,1171456,0.9617968797683716
1776733913.0293267,1183744,0.9626171588897705
1776733935.372709,1191936,0.9627344012260437
1776733957.4829288,1200128,0.9627344012260437
1776733989.5831707,1212416,0.9628515839576721
1776734011.5286965,1220608,0.9622656106948853
1776734043.7202113,1232896,0.9627344012260437
1776734069.2989686,1241088,0.9628515839576721
1776734101.3782685,1253376,0.9622656106948853
1776734123.320778,1261568,0.9628515839576721
1776734155.453712,1273856,0.9619140625
1776734177.32205,1282048,0.9627344012260437
1776734199.2500205,1290240,0.9623827934265137
1776734231.5649676,1302528,0.9627344012260437
1776734253.9238744,1310720,0.9619140625
