Wall time,Step,Value
1776733304.4286957,12288,0.03373046964406967
1776733329.4162607,20480,0.05376301892101765
1776733358.698006,32768,0.03212890587747097
1776733383.541061,40960,0.08876952901482582
1776733413.7602892,53248,0.0545507799834013
1776733439.7645557,61440,0.042552083265036345
1776733468.539826,73728,0.07385416515171528
1776733494.008291,81920,0.05677083134651184
1776733519.4066434,90112,0.09564453363418579
1776733548.1196895,102400,0.10516275838017464
1776733570.582881,110592,0.1409505233168602
1776733597.1570625,122880,0.19828776270151138
1776733619.7605095,131072,0.2764713615179062
1776733643.7346327,143360,0.4293164014816284
1776733662.0694082,151552,0.4642447978258133
1776733684.4382339,163840,0.5392773449420929
1776733702.2190506,172032,0.6341276168823242
1776733716.8865204,180224,0.7149218618869781
1776733744.5997047,192512,0.7743033766746521
1776733764.3192046,200704,0.8230208456516266
1776733788.2200494,212992,0.8667643368244171
1776733799.1299324,221184,0.8933333456516266
1776733814.109995,233472,0.9146289229393005
1776733824.485663,241664,0.9248242080211639
1776733838.8636258,253952,0.9365429878234863
1776733849.0614963,262144,0.9393554627895355
1776733858.6779177,270336,0.9453906118869781
1776733872.4757946,282624,0.9482031464576721
1776733882.199387,290816,0.9491406083106995
1776733899.2351508,303104,0.9523046910762787
1776733915.2194943,311296,0.9550586044788361
1776733938.5232458,323584,0.9549413919448853
1776733954.2136688,331776,0.9555273354053497
1776733970.9763203,344064,0.9573437571525574
1776733981.0585828,352256,0.9566406309604645
1776733990.660108,360448,0.9581640660762787
1776734004.5442793,372736,0.9572851657867432
1776734014.3520236,380928,0.9573437571525574
1776734029.073732,393216,0.9578710794448853
1776734039.6861322,401408,0.9575781226158142
1776734055.3456254,413696,0.9576367139816284
1776734065.231144,421888,0.9569922089576721
1776734075.2744777,430080,0.9497851729393005
1776734090.0861287,442368,0.95751953125
1776734100.388978,450560,0.9584570229053497
1776734114.6733234,462848,0.9572265446186066
1776734124.146625,471040,0.9576367139816284
1776734137.8691561,483328,0.9583398401737213
1776734147.6844196,491520,0.9583398401737213
1776734162.512066,503808,0.9585156142711639
1776734172.22023,512000,0.9586328268051147
1776734182.4861956,520192,0.9585742056369781
1776734197.4419122,532480,0.9424349069595337
1776734207.195963,540672,0.9585156440734863
1776734221.4832501,552960,0.9586913883686066
1776734231.3425837,561152,0.9583398401737213
1776734245.3494327,573440,0.9588086009025574
1776734261.8728433,581632,0.9594531357288361
1776734286.4994545,593920,0.9593359529972076
1776734302.8088386,602112,0.9589257538318634
1776734319.4964676,610304,0.9593359529972076
1776734343.4709547,622592,0.9594531059265137
1776734359.8399355,630784,0.9591601490974426
1776734383.8781328,643072,0.9590429961681366
1776734400.2941813,651264,0.9602148532867432
1776734424.1173787,663552,0.959277331829071
1776734440.6971636,671744,0.9592773616313934
1776734464.5982993,684032,0.958984375
1776734480.849863,692224,0.9594531357288361
1776734497.9202263,700416,0.9599804580211639
1776734522.7832975,712704,0.9592187404632568
1776734535.8289473,720896,0.9598632752895355
1776734556.8121533,733184,0.9595117270946503
1776734573.4873862,741376,0.9595117270946503
1776734598.9842906,753664,0.9595117270946503
1776734615.9350748,761856,0.9598046839237213
1776734632.8015676,770048,0.9602734446525574
1776734654.261035,782336,0.9598046839237213
1776734664.2312827,790528,0.9605664014816284
1776734679.0736885,802816,0.9606249928474426
1776734693.3506463,811008,0.9603905975818634
1776734717.6713557,823296,0.9599804580211639
1776734733.83004,831488,0.9598046839237213
1776734750.2444267,843776,0.96044921875
1776734760.1408925,851968,0.9600390791893005
1776734769.9916449,860160,0.96044921875
1776734784.2039135,872448,0.9608007669448853
1776734793.95815,880640,0.9603906273841858
1776734808.5446439,892928,0.9602734446525574
1776734818.912491,901120,0.9600390493869781
1776734832.823282,913408,0.9610937535762787
1776734842.475243,921600,0.960742175579071
1776734857.1192122,933888,0.9603320360183716
1776734867.3465023,942080,0.9605664014816284
1776734877.235559,950272,0.9611523449420929
1776734891.1939335,962560,0.9599804580211639
1776734900.6936402,970752,0.9608593583106995
1776734915.076409,983040,0.9609179496765137
1776734928.6287775,991232,0.9609765708446503
1776734952.5897913,1003520,0.9609765708446503
1776734969.457494,1011712,0.9608593583106995
1776734994.605929,1024000,0.9609179496765137
1776735011.814745,1032192,0.9593359231948853
1776735028.7469025,1040384,0.9602148532867432
1776735053.0431995,1052672,0.960273414850235
1776735069.5417204,1060864,0.9608593881130219
1776735093.8062632,1073152,0.9602734446525574
1776735109.9168258,1081344,0.960742175579071
1776735133.996654,1093632,0.9609765410423279
1776735150.732828,1101824,0.9609179496765137
1776735167.1815057,1110016,0.9606249928474426
1776735191.094167,1122304,0.9608593881130219
1776735207.6699066,1130496,0.9605078101158142
1776735231.611558,1142784,0.9609179496765137
1776735248.2217062,1150976,0.9612109363079071
1776735272.7440062,1163264,0.9608007669448853
1776735288.6003752,1171456,0.960742175579071
1776735311.7896593,1183744,0.9608593583106995
1776735327.831079,1191936,0.9611523449420929
1776735343.812734,1200128,0.9611523449420929
1776735367.032104,1212416,0.9613281488418579
1776735382.988936,1220608,0.9610351622104645
1776735406.1238651,1232896,0.9610937535762787
1776735424.070181,1241088,0.9612109363079071
1776735446.8913078,1253376,0.9609179496765137
1776735462.672114,1261568,0.9613281488418579
1776735485.5782218,1273856,0.9608593881130219
1776735501.3307452,1282048,0.9610937535762787
1776735517.0445704,1290240,0.9610351324081421
1776735544.6954517,1302528,0.9610351622104645
1776735567.3948455,1310720,0.9603906273841858
1776735600.6219969,1323008,0.9613867104053497
1776735623.4217453,1331200,0.9613281190395355
1776735656.4711816,1343488,0.9615039229393005
1776735678.7432761,1351680,0.9613867104053497
1776735711.5583982,1363968,0.9606249928474426
1776735734.1634278,1372160,0.9607422053813934
1776735757.4096193,1380352,0.9611523449420929
1776735791.583776,1392640,0.9613281190395355
1776735814.494928,1400832,0.9613281190395355
1776735843.0167372,1413120,0.9610351622104645
1776735853.041222,1421312,0.9609765410423279
