Wall time,Step,Value
1774831508.777832,12288,211.6666717529297
1774831513.6954482,20480,195.3000030517578
1774831520.061368,32768,197.89999389648438
1774831524.5438669,40960,161.96665954589844
1774831531.1782012,53248,204.56666564941406
1774831535.454869,61440,138.96665954589844
1774831541.589967,73728,177.89999389648438
1774831546.0515149,81920,159.13333129882812
1774831550.348068,90112,117.83333587646484
1774831556.2587142,102400,111.03333282470703
1774831560.0615401,110592,67.13333129882812
1774831565.4863439,122880,40.5
1774831568.939281,131072,26.933332443237305
1774831574.0751848,143360,21.566667556762695
1774831577.585599,151552,30.133333206176758
1774831582.8167481,163840,40.16666793823242
1774831586.3552792,172032,40.29999923706055
1774831589.886219,180224,31.899999618530273
1774831595.002342,192512,26.733333587646484
1774831598.7315571,200704,38.0
1774831603.8565261,212992,37.266666412353516
1774831607.3735812,221184,33.13333511352539
1774831612.486528,233472,29.0
1774831616.055767,241664,44.79999923706055
1774831621.341155,253952,41.53333282470703
1774831624.829507,262144,34.70000076293945
1774831628.356842,270336,35.03333282470703
1774831633.453888,282624,30.96666717529297
1774831636.909746,290816,29.566667556762695
1774831642.069346,303104,39.86666488647461
1774831645.6344,311296,31.066667556762695
1774831650.6920938,323584,24.5
1774831654.16475,331776,32.36666488647461
1774831659.7533708,344064,41.599998474121094
1774831663.375745,352256,36.599998474121094
1774831666.9188218,360448,25.96666717529297
1774831672.126225,372736,28.03333282470703
1774831675.6780841,380928,30.33333396911621
1774831680.857269,393216,35.0
1774831684.4426088,401408,28.133333206176758
1774831689.862738,413696,41.599998474121094
1774831693.733539,421888,40.766666412353516
1774831697.57332,430080,34.400001525878906
1774831703.317315,442368,21.799999237060547
1774831706.842131,450560,34.766666412353516
1774831712.044372,462848,38.16666793823242
1774831715.531606,471040,34.5
1774831720.6275158,483328,18.899999618530273
1774831724.085669,491520,26.200000762939453
1774831729.2043269,503808,36.733333587646484
1774831732.728569,512000,33.20000076293945
1774831736.340588,520192,28.600000381469727
1774831741.527062,532480,46.233333587646484
1774831745.016449,540672,29.96666717529297
1774831750.159926,552960,33.46666717529297
1774831753.653728,561152,28.16666603088379
1774831758.7131221,573440,25.700000762939453
1774831762.185612,581632,29.700000762939453
1774831767.321464,593920,38.733333587646484
1774831770.839939,602112,32.33333206176758
1774831774.277951,610304,26.299999237060547
1774831779.410466,622592,27.16666603088379
1774831782.912808,630784,34.16666793823242
1774831787.9485362,643072,23.633333206176758
1774831791.39975,651264,28.133333206176758
1774831796.5927198,663552,42.0
1774831800.210331,671744,45.29999923706055
1774831805.4769201,684032,53.93333435058594
1774831808.934162,692224,28.03333282470703
1774831812.3886058,700416,24.866666793823242
1774831817.568319,712704,32.46666717529297
1774831821.0375192,720896,30.233333587646484
1774831826.2072241,733184,31.66666603088379
1774831829.724288,741376,31.433332443237305
1774831834.821631,753664,29.899999618530273
1774831838.31956,761856,25.16666603088379
1774831841.8770518,770048,28.700000762939453
1774831846.9837282,782336,32.06666564941406
1774831850.455214,790528,31.53333282470703
1774831855.569185,802816,33.5
1774831859.058867,811008,26.366666793823242
1774831864.3134458,823296,51.53333282470703
1774831867.924574,831488,50.733333587646484
1774831873.040558,843776,27.0
1774831876.545055,851968,25.299999237060547
1774831880.0144918,860160,27.299999237060547
1774831885.191597,872448,42.099998474121094
1774831888.7452931,880640,42.5
1774831893.835086,892928,26.566667556762695
1774831897.300823,901120,19.566667556762695
1774831902.437058,913408,26.96666717529297
1774831905.931862,921600,33.16666793823242
1774831911.01415,933888,26.266666412353516
1774831914.478198,942080,27.5
1774831917.9466739,950272,29.733333587646484
1774831923.0747871,962560,32.099998474121094
1774831926.492349,970752,24.46666717529297
1774831931.590941,983040,28.133333206176758
1774831935.090859,991232,34.36666488647461
1774831940.1914399,1003520,34.03333282470703
1774831944.0701408,1011712,37.06666564941406
1774831949.173374,1024000,33.400001525878906
1774831952.760382,1032192,41.5
1774831956.283974,1040384,36.36666488647461
1774831961.4132822,1052672,20.200000762939453
1774831964.849942,1060864,22.633333206176758
1774831969.996199,1073152,40.099998474121094
1774831973.444758,1081344,27.799999237060547
1774831978.516717,1093632,26.266666412353516
1774831982.0340228,1101824,36.29999923706055
1774831985.5806878,1110016,40.400001525878906
1774831990.7853708,1122304,40.86666488647461
1774831994.2686772,1130496,33.16666793823242
1774831999.3979251,1142784,31.200000762939453
1774832002.893204,1150976,34.16666793823242
1774832008.0466728,1163264,22.933332443237305
1774832011.4945421,1171456,28.766666412353516
1774832016.637722,1183744,36.36666488647461
1774832020.131308,1191936,28.766666412353516
1774832023.62483,1200128,24.133333206176758
1774832028.652276,1212416,24.33333396911621
1774832032.0909472,1220608,24.53333282470703
1774832037.218521,1232896,30.733333587646484
1774832040.663641,1241088,29.266666412353516
1774832045.768919,1253376,27.366666793823242
1774832049.219479,1261568,25.100000381469727
1774832054.340951,1273856,34.79999923706055
1774832057.8587148,1282048,38.16666793823242
1774832061.310477,1290240,31.799999237060547
1774832066.442231,1302528,33.86666488647461
1774832069.848188,1310720,23.366666793823242
1774832074.9074419,1323008,27.83333396911621
1774832078.355677,1331200,27.16666603088379
1774832083.515827,1343488,34.13333511352539
1774832086.9754739,1351680,28.866666793823242
1774832092.0080872,1363968,25.866666793823242
1774832095.428902,1372160,22.899999618530273
1774832098.878669,1380352,25.600000381469727
1774832104.001654,1392640,32.13333511352539
1774832107.436339,1400832,26.46666717529297
1774832112.5281239,1413120,28.266666412353516
1774832116.0297651,1421312,32.900001525878906
